name,area_hint,categories,recommendations,accounts,naver_search,kakao_search
월 1일부터 한 달간 올리브영에서,,"걸스, 맛집, 쇼핑",1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%201%EC%9D%BC%EB%B6%80%ED%84%B0%20%ED%95%9C%20%EB%8B%AC%EA%B0%84%20%EC%98%AC%EB%A6%AC%EB%B8%8C%EC%98%81%EC%97%90%EC%84%9C,https://map.kakao.com/link/search/%EC%9B%94%201%EC%9D%BC%EB%B6%80%ED%84%B0%20%ED%95%9C%20%EB%8B%AC%EA%B0%84%20%EC%98%AC%EB%A6%AC%EB%B8%8C%EC%98%81%EC%97%90%EC%84%9C
월 1일부터 팔아요,,걸스,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%201%EC%9D%BC%EB%B6%80%ED%84%B0%20%ED%8C%94%EC%95%84%EC%9A%94,https://map.kakao.com/link/search/%EC%9B%94%201%EC%9D%BC%EB%B6%80%ED%84%B0%20%ED%8C%94%EC%95%84%EC%9A%94
월 1일부터 온라인 판매 먼저 이루어질 예정입니다,,걸스,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%201%EC%9D%BC%EB%B6%80%ED%84%B0%20%EC%98%A8%EB%9D%BC%EC%9D%B8%20%ED%8C%90%EB%A7%A4%20%EB%A8%BC%EC%A0%80%20%EC%9D%B4%EB%A3%A8%EC%96%B4%EC%A7%88%20%EC%98%88%EC%A0%95%EC%9E%85%EB%8B%88%EB%8B%A4,https://map.kakao.com/link/search/%EC%9B%94%201%EC%9D%BC%EB%B6%80%ED%84%B0%20%EC%98%A8%EB%9D%BC%EC%9D%B8%20%ED%8C%90%EB%A7%A4%20%EB%A8%BC%EC%A0%80%20%EC%9D%B4%EB%A3%A8%EC%96%B4%EC%A7%88%20%EC%98%88%EC%A0%95%EC%9E%85%EB%8B%88%EB%8B%A4
"월 1일, 단 하루 커피빈에서",,카페,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%201%EC%9D%BC%2C%20%EB%8B%A8%20%ED%95%98%EB%A3%A8%20%EC%BB%A4%ED%94%BC%EB%B9%88%EC%97%90%EC%84%9C,https://map.kakao.com/link/search/%EC%9B%94%201%EC%9D%BC%2C%20%EB%8B%A8%20%ED%95%98%EB%A3%A8%20%EC%BB%A4%ED%94%BC%EB%B9%88%EC%97%90%EC%84%9C
월 1일 방을해주신,지음님의 방영측을 책갈대로,맛집,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%201%EC%9D%BC%20%EB%B0%A9%EC%9D%84%ED%95%B4%EC%A3%BC%EC%8B%A0%20%EC%A7%80%EC%9D%8C%EB%8B%98%EC%9D%98%20%EB%B0%A9%EC%98%81%EC%B8%A1%EC%9D%84%20%EC%B1%85%EA%B0%88%EB%8C%80%EB%A1%9C,https://map.kakao.com/link/search/%EC%9B%94%201%EC%9D%BC%20%EB%B0%A9%EC%9D%84%ED%95%B4%EC%A3%BC%EC%8B%A0%20%EC%A7%80%EC%9D%8C%EB%8B%98%EC%9D%98%20%EB%B0%A9%EC%98%81%EC%B8%A1%EC%9D%84%20%EC%B1%85%EA%B0%88%EB%8C%80%EB%A1%9C
월 1일 단 하루!,,카페,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%201%EC%9D%BC%20%EB%8B%A8%20%ED%95%98%EB%A3%A8%21,https://map.kakao.com/link/search/%EC%9B%94%201%EC%9D%BC%20%EB%8B%A8%20%ED%95%98%EB%A3%A8%21
월 1일 공개,,"맛집, 쇼핑",1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%201%EC%9D%BC%20%EA%B3%B5%EA%B0%9C,https://map.kakao.com/link/search/%EC%9B%94%201%EC%9D%BC%20%EA%B3%B5%EA%B0%9C
월 1일 (월),,"맛집, 쇼핑, 술집, 카페",1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%201%EC%9D%BC%20%28%EC%9B%94%29,https://map.kakao.com/link/search/%EC%9B%94%201%EC%9D%BC%20%28%EC%9B%94%29
월 18일 자정까지,서울,전시·문화,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2018%EC%9D%BC%20%EC%9E%90%EC%A0%95%EA%B9%8C%EC%A7%80%20%EC%84%9C%EC%9A%B8,https://map.kakao.com/link/search/%EC%9B%94%2018%EC%9D%BC%20%EC%9E%90%EC%A0%95%EA%B9%8C%EC%A7%80%20%EC%84%9C%EC%9A%B8
월 18일 (수),부산,술집,1,knewnew.official,https://map.naver.com/p/search/%EC%9B%94%2018%EC%9D%BC%20%28%EC%88%98%29%20%EB%B6%80%EC%82%B0,https://map.kakao.com/link/search/%EC%9B%94%2018%EC%9D%BC%20%28%EC%88%98%29%20%EB%B6%80%EC%82%B0
